ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0874_walking_robot_simulation,Walking Robot Simulation,5,0,1,1,1.0000,3,0.2562,0.7704,0.2562,0.7704
s0840_magic_squares_in_grid,Magic Squares In Grid,5,1,5,1,1.0000,0,0.3625,0.8428,0.3625,0.8428
s0832_flipping_an_image,Flipping an Image,5,1,5,1,1.0000,0,0.2904,0.7747,0.2904,0.7747
s0827_making_a_large_island,Making A Large Island,5,1,3,1,1.0000,0,0.2945,0.8108,0.2945,0.8108
s0853_car_fleet,Car Fleet,5,1,4,1,1.0000,0,0.3218,0.7741,0.3218,0.7741
s0821_shortest_distance_to_a_character,Shortest Distance to a Character,5,1,5,1,1.0000,0,0.3609,0.8220,0.3609,0.8220
s0878_nth_magical_number,Nth Magical Number,5,1,5,1,1.0000,0,0.4423,0.8424,0.4423,0.8424
s0879_profitable_schemes,Profitable Schemes,5,0,4,1,1.0000,1,0.4060,0.8276,0.4060,0.8276
s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,5,1,4,1,1.0000,0,0.2615,0.7902,0.2615,0.7902
s0867_transpose_matrix,Transpose Matrix,5,1,5,1,1.0000,0,0.4848,0.8485,0.4848,0.8485
s0831_masking_personal_information,Masking Personal Information,5,1,3,1,1.0000,0,0.2661,0.7781,0.2661,0.7781
s0888_fair_candy_swap,Fair Candy Swap,5,1,3,1,1.0000,0,0.3874,0.8214,0.3874,0.8214
s0808_soup_servings,Soup Servings,5,1,5,1,1.0000,0,0.2887,0.8260,0.2887,0.8260
s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,5,1,5,1,1.0000,0,0.7260,0.8940,0.7260,0.8940
s0890_find_and_replace_pattern,Find and Replace Pattern,5,1,5,1,1.0000,0,0.3514,0.8092,0.3514,0.8092
s0837_new_21_game,New 21 Game,5,0,2,1,1.0000,1,0.6123,0.8561,0.6123,0.8561
