ID,Title,N_Samples,Pass_At_1_Attempt,Num_Passed,Compilable_Count,Compilable_Rate,First_Pass_Attempt,Avg_Code_BLEU,Avg_CodeBERT_F1,First_Pass_Code_BLEU,First_Pass_CodeBERT_F1
s0840_magic_squares_in_grid,Magic Squares In Grid,5,0,2,1,1.0000,1,0.2376,0.8097,0.2376,0.8097
s0827_making_a_large_island,Making A Large Island,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0874_walking_robot_simulation,Walking Robot Simulation,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0832_flipping_an_image,Flipping an Image,5,1,5,1,1.0000,0,0.2979,0.7988,0.2979,0.7988
s0853_car_fleet,Car Fleet,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0821_shortest_distance_to_a_character,Shortest Distance to a Character,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0878_nth_magical_number,Nth Magical Number,5,0,1,1,1.0000,2,0.3578,0.8181,0.3578,0.8181
s0879_profitable_schemes,Profitable Schemes,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0831_masking_personal_information,Masking Personal Information,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0849_maximize_distance_to_closest_person,Maximize Distance to Closest Person,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0867_transpose_matrix,Transpose Matrix,5,1,5,1,1.0000,0,0.4795,0.8418,0.4795,0.8418
s0888_fair_candy_swap,Fair Candy Swap,5,1,1,1,1.0000,0,0.4687,0.8987,0.4687,0.8987
s0808_soup_servings,Soup Servings,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0884_uncommon_words_from_two_sentences,Uncommon Words from Two Sentences,5,1,4,1,1.0000,0,0.6992,0.8817,0.6992,0.8817
s0846_hand_of_straights,Hand of Straights,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0890_find_and_replace_pattern,Find and Replace Pattern,5,0,1,1,1.0000,2,0.3747,0.7661,0.3747,0.7661
s0837_new_21_game,New 21 Game,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0820_short_encoding_of_words,Short Encoding of Words,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0845_longest_mountain_in_array,Longest Mountain in Array,5,1,2,1,1.0000,0,0.5393,0.9164,0.5393,0.9164
s0816_ambiguous_coordinates,Ambiguous Coordinates,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0803_bricks_falling_when_hit,Bricks Falling When Hit,5,0,0,0,0.0000,N/A,0.0000,0.0000,0.0000,0.0000
s0862_shortest_subarray_with_sum_at_least_k,Shortest Subarray with Sum at Least K,5,0,2,1,1.0000,2,0.3681,0.8376,0.3681,0.8376
s0806_number_of_lines_to_write_string,Number of Lines To Write String,5,1,5,1,1.0000,0,0.3216,0.8239,0.3216,0.8239
s0833_find_and_replace_in_string,Find And Replace in String,5,1,3,1,1.0000,0,0.4888,0.8172,0.4888,0.8172
s0892_surface_area_of_3d_shapes,Surface Area of 3D Shapes,5,0,0,1,1.0000,N/A,0.0000,0.0000,0.0000,0.0000
